产品分类,基金简称,产品代码(OF),产品代码(HK),投资类型,截止日期,今年以来(%),近一月(%),近三月(%),近六月(%),近一年(%),近三年(%),成立以来(%),年化回报(%),成立日期,基金规模(亿),合作伙伴
境内-ETF,名称,,境内场内代码,,,,,,,,,,,,"ETF总规模
（亿，最新）",合作伙伴
境内-ETF,恒生科技ETF,,513130,,,,,,,,,,,,456,华泰柏瑞
境内-ETF,亚太精选ETF,,159687,,,,,,,,,,,,15,南方基金
境内-ETF,东南亚科技ETF,,513730,,,,,,,,,,,,13,华泰柏瑞
境内-ETF,新经济ETF,,159822,,,,,,,,,,,,2.6,银华基金
境内-ETF,沙特ETF,,159329//520830,,,,,,,,,,,,13/12.7,"华泰柏瑞/
南方基金"
境外-OF,2倍做多日经 225ETF,7262.OF,07262.HK,另类投资基金,2026-03-24,4.8260776191,-19.2151476687,4.8683058088,19.7072828231,71.372468518,--,58.0559026567,28.3238355985,2024-05-24,18.3738847044,
境外-OF,2倍做多沪深300ETF,7233.OF,07233.HK,另类投资基金,2026-03-24,-6.712212131,-10.1826911816,-6.5056177492,-4.854750336,23.0894743881,-14.6964500881,-41.2396409281,-8.961748178,2020-07-27,78.6767040397,
境外-OF,2倍做多恒生科技ETF,7226.OF,07226.HK,另类投资基金,2026-03-24,-26.2225953185,-17.2266514806,-25.9072639937,-46.4473982542,-41.9439579685,-33.6790565442,152.3538603309,19.0886972292,2020-12-07,2683.9153200559,
境外-OF,2倍做多恒生ETF,7200.OF,07200.HK,另类投资基金,2026-03-24,-6.75092531,-12.0762302991,-8.3378043055,-14.2456041284,1.5076403201,24.1619731105,-23.9592750741,-2.9823025288,2017-03-10,592.2149383177,
境外-OF,富时亚太精选房地产信托ETF,3447.OF,03447.HK,另类投资基金,2026-03-24,-7.3913415397,-7.938818364,-7.4122285618,-7.2950082844,--,--,3.599564607,--,2025-04-30,25.017831869499997,
境外-OF,以太币期货ETF,3068.OF,03068.HK,另类投资基金,2026-03-24,-29.3843900771,13.37486871,-28.5364991235,-50.6337731721,-7.1928247616,-12.7707834008,22.2522522523,6.3126488895,2022-12-13,22.5968114535,
境外-OF,比特币期货ETF,3066.OF,03066.HK,另类投资基金,2026-03-24,-21.2250262881,7.0846595132,-21.0448657821,-40.2478936748,-26.880807371,80.0495097097,189.2471042471,38.209179374,2022-12-13,58.70497218690001,
境外-OF,富时美国国债20年+指数ETF,3433.OF,03433.HK,债券型基金,2026-03-24,-0.2296456174,-3.7660060965,-0.7391368068,-0.4313141789,0.88651067,--,-3.1137298541,-1.4152983202,2024-01-05,224.8882357008,
境外-OF,工银富时中国国债ETF,3199.OF,03199.HK,债券型基金,2026-03-24,2.8306504384,0.2236009489,3.0798414173,5.4070464399,8.3758001509,11.3378555257,35.7225074332,2.5532266748,2014-02-14,1005.6661548947,
境外-OF,美元货币市场ETF-美元,9096.OF,09096.HK,货币市场型基金,2026-03-24,0.8149403525,0.2734250896,0.8854013124,1.862365239,4.0081753151,15.2112998389,21.8065620451,2.7905731255,2019-01-25,262.7373773157,
境外-OF,人民币货币ETF,3122.OF,03122.HK,货币市场型基金,2026-03-24,2.262270635,0.2244147784,2.7130102821,4.6194912707,7.1532149787,4.002596549,8.720329969,0.7492988246,2015-01-14,9.8942609531,
境外-OF,美元货币市场ETF,3096.OF,03096.HK,货币市场型基金,2026-03-24,1.5157379262,0.4695746699,1.6886045448,2.6627758487,4.857145744,15.024894107,21.655988056,2.7728345485,2019-01-25,262.7373773157,
境外-OF,港元货币ETF,3053.OF,03053.HK,货币市场型基金,2026-03-24,0.5204404707,0.1554171082,0.5754485101,1.217652766,2.2172627034,11.2251977743,17.6903039884,2.1260918346,2018-06-29,261.6353406493,
